50:0f:80:fd:7f:b0
"64.79,64.79"
"36.62,36.62"
"76.26,76.26"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:20:e9:02
"223.88,223.88"
"315.73,315.73"
"301.21,301.21"
"229.84,229.84"
"185.08,185.08"
"202.79,202.79"
"108.13,108.13"
"102.73,102.73"
"98.49,98.49"
"174.45,174.45"
"53.9,53.9"
"0.0,0.0"
"126.21,126.21"
"198.49,198.49"
"0.0,0.0"
"196.21,196.21"
"47.99,47.99"
"81.5,81.5"
"0.0,0.0"
50:0f:80:c9:58:71
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"6.38,6.38"
"110.31,110.31"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:e3:74:22
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"77.76,77.76"
"50.73,50.73"
"76.97,76.97"
"128.27,128.27"
"87.27,87.27"
"13.17,13.17"
"48.97,48.97"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"55.11,55.11"
"0.0,0.0"
"101.39,101.39"
50:0f:80:fd:6d:71
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"132.33,132.33"
"0.0,0.0"
50:0f:80:fd:85:01
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
